Epoch[1/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[112/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[113/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[114/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[115/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[116/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[117/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[118/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[119/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[120/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[121/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[122/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[123/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[124/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[125/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[126/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[127/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[128/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[129/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[130/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[131/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[132/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[133/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[134/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[135/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[136/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[137/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[138/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[139/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[140/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[141/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[142/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[143/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[144/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[145/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[146/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[147/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[148/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[149/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[150/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[151/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[152/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[153/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[154/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[155/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[156/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[157/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[158/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[159/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[160/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[161/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[162/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[163/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[164/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[165/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[166/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[167/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[168/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[169/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[170/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[171/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[172/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[173/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[174/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[175/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[176/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[177/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[178/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[179/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[180/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
