Epoch[1/1000] Learning-rate: 5e-06, Loss-Train: 630.5683, Loss-Test: 654.7108, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0200
Epoch[65/1000] Learning-rate: 5e-06, Loss-Train: 614.0639, Loss-Test: 638.9377, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0000
Epoch[66/1000] Learning-rate: 5e-06, Loss-Train: 617.4891, Loss-Test: 641.6676, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0000
Epoch[67/1000] Learning-rate: 5e-06, Loss-Train: 618.2447, Loss-Test: 640.5983, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[68/1000] Learning-rate: 5e-06, Loss-Train: 615.9005, Loss-Test: 641.6400, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[69/1000] Learning-rate: 5e-06, Loss-Train: 618.1583, Loss-Test: 639.2928, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[70/1000] Learning-rate: 5e-06, Loss-Train: 613.7223, Loss-Test: 640.1701, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[71/1000] Learning-rate: 5e-06, Loss-Train: 617.3217, Loss-Test: 642.5038, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[72/1000] Learning-rate: 5e-06, Loss-Train: 613.0495, Loss-Test: 639.6542, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0040
Epoch[73/1000] Learning-rate: 5e-06, Loss-Train: 614.8285, Loss-Test: 640.2711, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0000
Epoch[74/1000] Learning-rate: 5e-06, Loss-Train: 615.3586, Loss-Test: 639.0960, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0000
Epoch[75/1000] Learning-rate: 5e-06, Loss-Train: 611.7720, Loss-Test: 637.9912, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0000
Epoch[76/1000] Learning-rate: 5e-06, Loss-Train: 616.7528, Loss-Test: 635.9100, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[77/1000] Learning-rate: 5e-06, Loss-Train: 615.2937, Loss-Test: 638.0830, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0000
Epoch[78/1000] Learning-rate: 5e-06, Loss-Train: 612.6490, Loss-Test: 637.0622, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0000
Epoch[79/1000] Learning-rate: 5e-06, Loss-Train: 614.5036, Loss-Test: 633.7661, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0000
Epoch[80/1000] Learning-rate: 5e-06, Loss-Train: 610.7681, Loss-Test: 637.5629, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0000
Epoch[81/1000] Learning-rate: 5e-06, Loss-Train: 611.7706, Loss-Test: 632.3268, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[82/1000] Learning-rate: 5e-06, Loss-Train: 615.2146, Loss-Test: 635.6892, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[83/1000] Learning-rate: 5e-06, Loss-Train: 610.5200, Loss-Test: 631.0424, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[84/1000] Learning-rate: 5e-06, Loss-Train: 611.5681, Loss-Test: 631.6835, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[85/1000] Learning-rate: 5e-06, Loss-Train: 614.5255, Loss-Test: 633.8693, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[86/1000] Learning-rate: 5e-06, Loss-Train: 610.3753, Loss-Test: 633.2510, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[87/1000] Learning-rate: 5e-06, Loss-Train: 607.0654, Loss-Test: 630.6853, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0040
Epoch[88/1000] Learning-rate: 5e-06, Loss-Train: 605.8756, Loss-Test: 632.8772, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0040
Epoch[89/1000] Learning-rate: 5e-06, Loss-Train: 604.8542, Loss-Test: 631.6104, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[90/1000] Learning-rate: 5e-06, Loss-Train: 606.2596, Loss-Test: 630.7603, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0000
Epoch[91/1000] Learning-rate: 5e-06, Loss-Train: 610.8012, Loss-Test: 627.4917, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0000
Epoch[92/1000] Learning-rate: 5e-06, Loss-Train: 604.6717, Loss-Test: 627.8428, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0040
Epoch[93/1000] Learning-rate: 5e-06, Loss-Train: 605.5481, Loss-Test: 626.5381, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0040
Epoch[94/1000] Learning-rate: 5e-06, Loss-Train: 603.7528, Loss-Test: 629.5254, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0000
Epoch[95/1000] Learning-rate: 5e-06, Loss-Train: 599.6051, Loss-Test: 624.8473, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0000
Epoch[96/1000] Learning-rate: 5e-06, Loss-Train: 601.0470, Loss-Test: 628.9978, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0000
Epoch[97/1000] Learning-rate: 5e-06, Loss-Train: 601.5591, Loss-Test: 623.9538, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[98/1000] Learning-rate: 5e-06, Loss-Train: 604.4349, Loss-Test: 624.0056, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0040
Epoch[99/1000] Learning-rate: 5e-06, Loss-Train: 600.1456, Loss-Test: 623.8163, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0000
Epoch[100/1000] Learning-rate: 5e-06, Loss-Train: 600.6927, Loss-Test: 625.2118, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0000
Epoch[101/1000] Learning-rate: 5e-06, Loss-Train: 602.9491, Loss-Test: 624.0021, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0000
Epoch[102/1000] Learning-rate: 5e-06, Loss-Train: 604.2114, Loss-Test: 621.8735, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0000
Epoch[103/1000] Learning-rate: 5e-06, Loss-Train: 596.3898, Loss-Test: 621.8769, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0000
Epoch[104/1000] Learning-rate: 5e-06, Loss-Train: 599.5556, Loss-Test: 620.6440, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0000
Epoch[105/1000] Learning-rate: 5e-06, Loss-Train: 596.0853, Loss-Test: 619.6126, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0000
Epoch[106/1000] Learning-rate: 5e-06, Loss-Train: 594.2902, Loss-Test: 618.2755, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0040
Epoch[107/1000] Learning-rate: 5e-06, Loss-Train: 594.0440, Loss-Test: 618.1117, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0000
Epoch[108/1000] Learning-rate: 5e-06, Loss-Train: 597.0836, Loss-Test: 619.4534, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0000
Epoch[109/1000] Learning-rate: 5e-06, Loss-Train: 595.2231, Loss-Test: 620.4320, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0040
Epoch[110/1000] Learning-rate: 5e-06, Loss-Train: 594.7504, Loss-Test: 618.0125, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0040
Epoch[111/1000] Learning-rate: 5e-06, Loss-Train: 592.5343, Loss-Test: 612.7987, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0000
Epoch[112/1000] Learning-rate: 5e-06, Loss-Train: 589.9470, Loss-Test: 612.6380, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0000
Epoch[113/1000] Learning-rate: 5e-06, Loss-Train: 588.6079, Loss-Test: 614.3433, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0000
Epoch[114/1000] Learning-rate: 5e-06, Loss-Train: 590.8102, Loss-Test: 615.0011, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0040
Epoch[115/1000] Learning-rate: 5e-06, Loss-Train: 592.0504, Loss-Test: 610.4967, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0080
Epoch[116/1000] Learning-rate: 5e-06, Loss-Train: 585.9521, Loss-Test: 611.9120, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0040
Epoch[117/1000] Learning-rate: 5e-06, Loss-Train: 584.7866, Loss-Test: 611.5712, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0040
Epoch[118/1000] Learning-rate: 5e-06, Loss-Train: 585.6716, Loss-Test: 606.6046, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0040
Epoch[119/1000] Learning-rate: 5e-06, Loss-Train: 584.3374, Loss-Test: 606.7208, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0040
Epoch[120/1000] Learning-rate: 5e-06, Loss-Train: 581.6094, Loss-Test: 608.3815, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0080
Epoch[121/1000] Learning-rate: 5e-06, Loss-Train: 579.2059, Loss-Test: 605.7556, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0080
Epoch[122/1000] Learning-rate: 5e-06, Loss-Train: 579.2987, Loss-Test: 603.3465, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0080
Epoch[123/1000] Learning-rate: 5e-06, Loss-Train: 578.3314, Loss-Test: 603.4589, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0080
Epoch[124/1000] Learning-rate: 5e-06, Loss-Train: 578.6472, Loss-Test: 600.0039, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0080
Epoch[125/1000] Learning-rate: 5e-06, Loss-Train: 576.7078, Loss-Test: 600.2237, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0080
Epoch[126/1000] Learning-rate: 5e-06, Loss-Train: 578.0220, Loss-Test: 599.6285, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0080
Epoch[127/1000] Learning-rate: 5e-06, Loss-Train: 573.2446, Loss-Test: 597.4716, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0080
Epoch[128/1000] Learning-rate: 5e-06, Loss-Train: 568.4733, Loss-Test: 596.6535, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0080
Epoch[129/1000] Learning-rate: 5e-06, Loss-Train: 572.5615, Loss-Test: 594.5816, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0080
Epoch[130/1000] Learning-rate: 5e-06, Loss-Train: 570.9872, Loss-Test: 592.6395, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0080
Epoch[131/1000] Learning-rate: 5e-06, Loss-Train: 566.7647, Loss-Test: 591.5891, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0080
Epoch[132/1000] Learning-rate: 5e-06, Loss-Train: 568.9630, Loss-Test: 587.9297, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0080
Epoch[133/1000] Learning-rate: 5e-06, Loss-Train: 569.8265, Loss-Test: 587.9027, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0080
Epoch[134/1000] Learning-rate: 5e-06, Loss-Train: 562.4485, Loss-Test: 587.2756, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0080
Epoch[135/1000] Learning-rate: 5e-06, Loss-Train: 559.3678, Loss-Test: 588.7504, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0080
Epoch[136/1000] Learning-rate: 5e-06, Loss-Train: 559.2990, Loss-Test: 582.7649, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0080
Epoch[137/1000] Learning-rate: 5e-06, Loss-Train: 559.7825, Loss-Test: 580.9650, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0080
Epoch[138/1000] Learning-rate: 5e-06, Loss-Train: 558.8980, Loss-Test: 579.8006, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0080
Epoch[139/1000] Learning-rate: 5e-06, Loss-Train: 555.7683, Loss-Test: 576.7124, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0080
Epoch[140/1000] Learning-rate: 5e-06, Loss-Train: 554.2110, Loss-Test: 576.9715, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0080
Epoch[141/1000] Learning-rate: 5e-06, Loss-Train: 550.3401, Loss-Test: 574.9242, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0080
Epoch[142/1000] Learning-rate: 5e-06, Loss-Train: 550.8448, Loss-Test: 573.2965, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0120
Epoch[143/1000] Learning-rate: 5e-06, Loss-Train: 549.2021, Loss-Test: 569.2089, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0120
Epoch[144/1000] Learning-rate: 5e-06, Loss-Train: 541.5881, Loss-Test: 566.9142, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0080
Epoch[145/1000] Learning-rate: 5e-06, Loss-Train: 539.5065, Loss-Test: 566.4506, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0080
Epoch[146/1000] Learning-rate: 5e-06, Loss-Train: 536.7364, Loss-Test: 563.5260, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0120
Epoch[147/1000] Learning-rate: 5e-06, Loss-Train: 536.5835, Loss-Test: 560.8355, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0120
Epoch[148/1000] Learning-rate: 5e-06, Loss-Train: 535.3395, Loss-Test: 557.7376, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0080
Epoch[149/1000] Learning-rate: 5e-06, Loss-Train: 532.5484, Loss-Test: 557.5212, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0040
Epoch[150/1000] Learning-rate: 5e-06, Loss-Train: 531.5805, Loss-Test: 554.9131, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0040
Epoch[151/1000] Learning-rate: 5e-06, Loss-Train: 527.6479, Loss-Test: 554.6043, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0040
Epoch[152/1000] Learning-rate: 5e-06, Loss-Train: 524.6343, Loss-Test: 550.7235, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0040
Epoch[153/1000] Learning-rate: 5e-06, Loss-Train: 521.5341, Loss-Test: 548.5152, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0040
Epoch[154/1000] Learning-rate: 5e-06, Loss-Train: 518.3460, Loss-Test: 543.3758, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0040
Epoch[155/1000] Learning-rate: 5e-06, Loss-Train: 516.9041, Loss-Test: 540.7179, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0040
Epoch[156/1000] Learning-rate: 5e-06, Loss-Train: 515.9127, Loss-Test: 539.0720, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0080
Epoch[157/1000] Learning-rate: 5e-06, Loss-Train: 510.9506, Loss-Test: 535.1253, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0040
Epoch[158/1000] Learning-rate: 5e-06, Loss-Train: 505.9884, Loss-Test: 534.0999, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0040
Epoch[159/1000] Learning-rate: 5e-06, Loss-Train: 505.2628, Loss-Test: 529.8131, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0040
Epoch[160/1000] Learning-rate: 5e-06, Loss-Train: 502.5808, Loss-Test: 527.9017, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0040
Epoch[161/1000] Learning-rate: 5e-06, Loss-Train: 497.3678, Loss-Test: 524.8307, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0040
Epoch[162/1000] Learning-rate: 5e-06, Loss-Train: 493.2105, Loss-Test: 520.6919, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[163/1000] Learning-rate: 5e-06, Loss-Train: 491.4901, Loss-Test: 517.4097, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
